block_number,average_gwei_paid
4.687867e+06,26.16050960545205
4.687868e+06,79.29999999999998
4.687869e+06,42.756151419558364
4.68787e+06,32.82943646020767
4.687871e+06,74.84827586206897
4.687872e+06,30.010401911943255
4.687873e+06,74.31000000000004
4.687874e+06,19.219711150900324
4.687875e+06,50.030269230903855
4.687876e+06,49.07120706007018
4.687877e+06,50.79375000030001
4.687878e+06,44.85006396187756
4.687879e+06,46.161197604819286
4.68788e+06,44.86198853808189
4.687881e+06,65.77551020408163
4.687882e+06,53.90645732982432
4.687883e+06,44.27062937063637
4.687884e+06,75.27393559955046
4.687885e+06,70.73764752227069
4.687886e+06,48.607843573325944
4.687887e+06,62.04367813737937
4.687888e+06,69.18545454545455
4.687889e+06,54.759266634733336
4.68789e+06,51.54717905238834
4.687891e+06,48.618797050865666
4.687892e+06,22.130328910028435
4.687893e+06,63.91428571428567
4.687894e+06,30.464108306188923
4.687895e+06,52.778780890426084
4.687896e+06,46.17764158635
4.687897e+06,64.81395348837209
4.687898e+06,64.35595238095235
4.687899e+06,53.88060470649999
4.6879e+06,57.088096113276784
4.687901e+06,47.01723510638298
4.687902e+06,52.74396739472222
4.687903e+06,53.42182749920611
4.687904e+06,43.19352126740318
4.687905e+06,49.94317269998214
4.687906e+06,68.16
4.687907e+06,47.10299501997501
4.687908e+06,54.581862525
4.687909e+06,46.53188235322352
4.68791e+06,44.967116109268304
4.687911e+06,46.96557601262108
4.687912e+06,44.43660442686034
4.687913e+06,42.26699086331295
4.687914e+06,67.17144827586202
4.687915e+06,57.53777777777778
4.687916e+06,44.37507459660171
4.687917e+06,34.51419558359621
4.687918e+06,60.41809756990913
4.687919e+06,49.20354953509269
4.68792e+06,56.44828785916003
4.687921e+06,49.255296349309525
4.687922e+06,49.02745869878666
4.687923e+06,43.31003494424907
4.687924e+06,44.27840131319699
4.687925e+06,64.49531246799998
4.687926e+06,42.20952380952381
4.687927e+06,54.95301218500911
4.687928e+06,72.90833333333333
4.687929e+06,51.267577143277215
4.68793e+06,48.20861796295876
4.687931e+06,41.009214393328996
4.687932e+06,31.338765867511253
4.687933e+06,58.15119626717697
4.687934e+06,54.180805427072045
4.687935e+06,68.26202247191004
4.687936e+06,49.08624044384848
4.687937e+06,52.65576523138596
4.687938e+06,46.061124310250015
4.687939e+06,42.61399176954732
4.68794e+06,46.91001970155442
4.687941e+06,64.18869046400009
4.687942e+06,87.64286514975926
4.687943e+06,67.19199998634672
4.687944e+06,64.05740740740742
4.687945e+06,61.55098117647055
4.687946e+06,55.093883659745785
4.687947e+06,46.82296640851063
4.687948e+06,44.98787878824242
4.687949e+06,48.356471060299995
4.68795e+06,66.67770210829167
4.687951e+06,61.462767875031204
4.687952e+06,82.73999997340253
4.687953e+06,47.74208743422836
4.687954e+06,84.49161290322581
4.687955e+06,29.56942848931915
4.687956e+06,51.42018109366177
4.687957e+06,77.10608762620555
4.687958e+06,48.562142678853334
4.687959e+06,71.69263435384067
4.68796e+06,29.729032258064517
4.687961e+06,93.45132613687178
4.687962e+06,44.56697183099296
4.687963e+06,42.542268041237115
4.687964e+06,77.67058823529412
4.687965e+06,47.964606003538464
4.687966e+06,43.87830188680661
4.687967e+06,75.72
4.687968e+06,44.070217812090085
4.687969e+06,51.51573603202941
4.68797e+06,43.54481323216918
4.687971e+06,44.06055943664085
4.687972e+06,65.50234897261412
4.687973e+06,44.52253591559861
4.687974e+06,45.25634901200502
4.687975e+06,69.01808888888891
4.687976e+06,43.479775258672404
4.687977e+06,62.998904109589056
4.687978e+06,57.35891264312084
4.687979e+06,46.35452284893024
4.68798e+06,44.30781254585982
4.687981e+06,35.3307629602973
4.687982e+06,55.37097803902804
4.687983e+06,48.15912125193137
4.687984e+06,70.97438596491229
4.687985e+06,58.43333333333334
4.687986e+06,44.650088198
4.687987e+06,68.28058349514556
4.687988e+06,59.95961634615383
4.687989e+06,80.66184210526315
4.68799e+06,57.288687322339634
4.687991e+06,50.52183061842287
4.687992e+06,44.11496284212903
4.687993e+06,35.82658163266327
4.687994e+06,44.51571529953333
4.687995e+06,69.8286865999219
4.687996e+06,27.979398885350317
4.687997e+06,47.80853853251239
4.687998e+06,91.92185134441793
4.687999e+06,44.48906132034961
4.688e+06,45.32972972975675
4.688001e+06,28.11146190467846
4.688002e+06,67.12828750117858
4.688003e+06,47.139015113953846
4.688004e+06,34.30763121546961
4.688005e+06,60.23673469387763
4.688006e+06,46.35822618767902
4.688007e+06,47.59314364595192
4.688008e+06,48.77252802210989
4.688009e+06,42.43747945141905
4.68801e+06,45.54522067517732
4.688011e+06,44.36244418957143
4.688012e+06,46.85197600012
4.688013e+06,55.89806382217288
4.688014e+06,47.709770114954026
4.688015e+06,33.73996471523484
4.688016e+06,42.26259842520079
4.688017e+06,49.365836280955
4.688018e+06,43.63157894736842
4.688019e+06,45.95446836204761
4.68802e+06,35.42908753916
4.688021e+06,75.15522388059703
4.688022e+06,61.91925922133333
4.688023e+06,49.24437735108148
4.688024e+06,68.0187407228055
4.688025e+06,46.185452608861446
4.688026e+06,60.54897392357149
4.688027e+06,42.913500604518184
4.688028e+06,48.1409504640267
4.688029e+06,54.37802276223527
4.68803e+06,43.92080134238255
4.688031e+06,48.01122280730701
4.688032e+06,36.603493642428575
4.688033e+06,42.66627843883637
4.688034e+06,65.99230280004544
4.688035e+06,41.51093023257365
4.688036e+06,27.22981712904516
4.688037e+06,40.73684210526316
4.688038e+06,65.83430596167035
4.688039e+06,51.091858147409084
4.68804e+06,61.03049448071874
4.688041e+06,30.240759541121218
4.688042e+06,43.74763867937736
4.688043e+06,41.481307886243776
4.688044e+06,65.00965017765883
4.688045e+06,65.40007367102702
4.688046e+06,57.7641025641282
4.688047e+06,58.808333333333344
4.688048e+06,53.866417026213355
4.688049e+06,109.01466139626126
4.68805e+06,57.47865325838822
4.688051e+06,45.807029713242706
4.688052e+06,68.9748369565218
4.688053e+06,42.72025918906143
4.688054e+06,38.37992793789162
4.688055e+06,39.14179104477612
4.688056e+06,53.88993849053435
4.688057e+06,42.50000000006666
4.688058e+06,54.20203285585455
4.688059e+06,43.38449160633334
4.68806e+06,83.95138320895522
4.688061e+06,71.25099840315792
4.688062e+06,52.753762540952394
4.688063e+06,49.95298850577012
4.688064e+06,68.97793365257142
4.688065e+06,50.06789094362222
4.688066e+06,44.669643571875
4.688067e+06,70.33190779029017
4.688068e+06,60.50444622224443
4.688069e+06,59.1630930570091
4.68807e+06,72.52244396385858
4.688071e+06,50.894614652192985
4.688072e+06,117.96688077667801
4.688073e+06,35.65294009868749
4.688074e+06,82.44186330368538
4.688075e+06,131.56960061126532
4.688076e+06,34.64250723319354
4.688077e+06,79.94772767322351
4.688078e+06,64.78608316856185
4.688079e+06,51.237077343607844
4.68808e+06,12.598123826778348
4.688081e+06,51.75800011884615
4.688082e+06,66.10329725274727
4.688083e+06,52.20906068404818
4.688084e+06,61.401730977096776
4.688085e+06,49.90103937765753
4.688086e+06,60.50487223403448
4.688087e+06,50.144552566074765
4.688088e+06,65.22169014084506
4.688089e+06,67.685
4.68809e+06,39.739738129089275
4.688091e+06,41.93354874599036
4.688092e+06,53.120959471679605
4.688093e+06,50.55060751536365
4.688094e+06,48.40429590622147
4.688095e+06,47.84913812895139
4.688096e+06,56.73449802154409
4.688097e+06,71.8524973937315
4.688098e+06,54.25854527434
4.688099e+06,47.670626785767844
4.6881e+06,36.29773951520455
4.688101e+06,50.260649890488374
4.688102e+06,37.22380952380952
4.688103e+06,42.55936507936508
4.688104e+06,76.70349605454422
4.688105e+06,49.69265648633653
4.688106e+06,44.19938342349548
4.688107e+06,54.06129149531109
4.688108e+06,56.678230860322564
4.688109e+06,42.998572285742846
4.68811e+06,38.68308796644156
4.688111e+06,33.89556713770213
4.688112e+06,71.11889278708078
4.688113e+06,61.745833333375
4.688114e+06,54.07854437221847
4.688115e+06,38.17447712418301
4.688116e+06,69.3385185185185
4.688117e+06,40.11034482762069
4.688118e+06,19.846277659595746
4.688119e+06,46.447780447279996
4.68812e+06,64.1221067423821
4.688121e+06,39.53235794641
4.688122e+06,62.9734848484849
4.688123e+06,53.3578146880391
4.688124e+06,56.23392256246279
4.688125e+06,48.49124042240581
4.688126e+06,49.343631579052634
4.688127e+06,51.48281461711212
4.688128e+06,37.170402689210526
4.688129e+06,44.44242620723276
4.68813e+06,35.38985297972628
4.688131e+06,76.27841992319229
4.688132e+06,54.55955996674075
4.688133e+06,42.862993560727276
4.688134e+06,45.984496124310084
4.688135e+06,43.618376363881815
4.688136e+06,43.231355042033606
4.688137e+06,42.370408163387744
4.688138e+06,43.16000813955232
4.688139e+06,49.22996995600892
4.68814e+06,69.39743589743591
4.688141e+06,71.07993226562508
4.688142e+06,50.436854828024195
4.688143e+06,44.77128787878788
4.688144e+06,41.704365559139305
4.688145e+06,45.496511022239126
4.688146e+06,67.36194690265481
4.688147e+06,48.9200612634013
4.688148e+06,50.15325491131362
4.688149e+06,47.24146508630894
4.68815e+06,46.65802246814146
4.688151e+06,40.726503126645156
